Date,Product,Region,Price,Units_Sold,Revenue
2023-01-01,Shampoo,East,11.08,118,1307.44
2023-01-01,Protein Bar,South,2.09,76,158.83999999999997
2023-01-01,Smart Lamp,East,43.46,72,3129.12
2023-01-01,Yoga Mat,North,22.24,97,2157.2799999999997
2023-01-01,Earbuds,South,57.66,105,6054.299999999999
2023-01-02,Shampoo,North,11.3,92,1039.6000000000001
2023-01-02,Protein Bar,North,2.35,94,220.9
2023-01-02,Smart Lamp,West,34.24,132,4519.68
2023-01-02,Yoga Mat,East,16.37,150,2455.5
2023-01-02,Earbuds,East,54.89,105,5763.45
2023-01-03,Shampoo,South,8.75,81,708.75
2023-01-03,Protein Bar,North,2.66,118,313.88
2023-01-03,Smart Lamp,South,44.18,83,3666.94
2023-01-03,Yoga Mat,West,20.39,104,2120.56
2023-01-03,Earbuds,West,47.37,147,6963.389999999999
2023-01-04,Shampoo,West,11.11,81,899.91
2023-01-04,Protein Bar,North,2.13,91,193.82999999999998
2023-01-04,Smart Lamp,North,40.02,90,3601.8
2023-01-04,Yoga Mat,North,19.41,111,2154.51
2023-01-04,Earbuds,East,57.51,121,6958.71
2023-01-05,Shampoo,North,11.4,79,900.6
2023-01-05,Protein Bar,North,2.28,111,253.07999999999998
2023-01-05,Smart Lamp,West,43.43,79,3430.97
2023-01-05,Yoga Mat,East,16.47,99,1630.53
2023-01-05,Earbuds,East,64.25,69,4433.25
2023-01-06,Shampoo,South,8.6,119,1023.4
2023-01-06,Protein Bar,North,2.37,85,201.45000000000002
2023-01-06,Smart Lamp,South,32.57,91,2963.87
2023-01-06,Yoga Mat,South,22.11,90,1989.8999999999999
2023-01-06,Earbuds,East,65.58,80,5246.4
2023-01-07,Shampoo,North,9.08,103,935.24
2023-01-07,Protein Bar,North,2.19,111,243.09
2023-01-07,Smart Lamp,South,33.96,117,3973.32
2023-01-07,Yoga Mat,West,18.48,115,2125.2000000000003
2023-01-07,Earbuds,East,62.54,91,5691.14
2023-01-08,Shampoo,North,9.97,119,1186.43
2023-01-08,Protein Bar,North,2.09,81,169.29
2023-01-08,Smart Lamp,East,40.26,72,2898.72
2023-01-08,Yoga Mat,North,15.37,96,1475.52
2023-01-08,Earbuds,West,49.15,202,9928.3
2023-01-09,Shampoo,North,11.74,52,610.48
2023-01-09,Protein Bar,East,2.32,87,201.83999999999997
2023-01-09,Smart Lamp,South,31.54,131,4131.74
2023-01-09,Yoga Mat,West,19.41,60,1164.6
2023-01-09,Earbuds,North,53.84,157,8452.880000000001
2023-01-10,Shampoo,East,8.42,86,724.12
2023-01-10,Protein Bar,North,2.03,137,278.10999999999996
2023-01-10,Smart Lamp,East,43.81,70,3066.7000000000003
2023-01-10,Yoga Mat,East,17.41,100,1741.0
2023-01-10,Earbuds,East,51.08,112,5720.96
